id,name,type,sport_type,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,average_watts,suffer_score,calories,start_latlng,end_latlng,achievement_count,kudos_count,trainer,commute,manual,gear_id,description,distance_km,moving_time_min,pace_min_km,pace_str
19336332802,Lunch Run,Run,Run,2026-07-16T12:39:54Z,7055.9,3219,4293,18.4,9.8,0.4,2.192,4.72,164.4,197.0,,146.6,41.0,,"51.474547,-0.155849","51.477642,-0.148991",2,1,0,0,0,,,7.0559,53.65,7.6036,7:36
19296837413,Afternoon Run,Run,Run,2026-07-13T17:08:58Z,3007.8,1541,1546,2.6,8.0,2.4,1.952,2.68,138.4,154.0,,126.8,5.0,,"51.4781,-0.149257","51.476286,-0.156549",0,3,0,0,0,,,3.0078,25.68,8.5389,8:32
19215253573,Afternoon Run,Run,Run,2026-07-07T14:31:08Z,5309.8,2628,2731,10.2,9.0,-0.4,2.02,4.653,166.8,198.0,,136.1,29.0,,"51.475645,-0.156458","51.476472,-0.155904",2,2,0,0,0,,,5.3098,43.8,8.2489,8:14
19174492891,Park Run,Run,Run,2026-07-04T09:05:00Z,5087.5,1952,1952,3.0,7.2,-0.6,2.606,3.64,181.7,202.0,,170.8,45.0,,"51.479022,-0.159977","51.47796,-0.163073",0,8,0,0,0,,,5.0875,32.53,6.3948,6:23
19174492875,Park Run warm up,Run,Run,2026-07-04T08:24:56Z,2508.7,1144,1150,0.0,10.2,0.6,2.193,2.92,162.6,168.0,,141.6,8.0,,"51.474613,-0.155816","51.479408,-0.157668",0,0,0,0,0,,,2.5087,19.07,7.6002,7:36
19160814406,Morning Run,Run,Run,2026-07-03T07:56:18Z,17320.9,8611,10432,54.4,10.4,-2.2,2.011,7.438,156.4,172.0,,132.1,48.0,,"51.475772,-0.156302","51.475371,-0.156358",38,4,0,0,0,,,17.3209,143.52,8.2858,8:17
19138407022,Afternoon Run,Run,Run,2026-07-01T14:46:14Z,7605.0,3130,3861,22.0,12.0,1.2,2.43,4.491,173.2,200.0,,161.9,58.0,,"51.475751,-0.156535","51.475409,-0.156337",13,3,0,0,0,,,7.605,52.17,6.8595,6:51
19110753000,Afternoon Run,Run,Run,2026-06-29T13:53:32Z,8178.0,3992,4033,27.2,12.6,0.8,2.049,3.714,158.6,175.0,,132.6,23.0,,"51.475806,-0.156417","51.480306,-0.16504",0,1,0,0,0,g27048336,,8.178,66.53,8.1356,8:08
19077658620,Evening Run,Run,Run,2026-06-26T20:45:13Z,7016.7,3418,3427,37.8,14.8,3.0,2.053,2.832,149.1,164.0,,136.7,13.0,,"55.238138,-4.855733","55.239655,-4.855422",0,3,0,0,0,g26095750,,7.0167,56.97,8.1187,8:07
19066880654,Night Run,Run,Run,2026-06-25T21:58:36Z,6020.6,2999,3013,18.8,14.8,3.6,2.008,3.16,152.9,177.0,,131.4,13.0,,"55.237907,-4.85581","55.244848,-4.854126",0,4,0,0,0,g26095750,,6.0206,49.98,8.3021,8:18
19035082131,Lunch Run,Run,Run,2026-06-23T12:12:01Z,7028.0,3903,3955,164.4,230.2,115.0,1.801,2.981,143.7,177.0,,124.9,16.0,,"54.352849,-2.636241","54.35297,-2.636286",0,1,0,0,0,g26095750,,7.028,65.05,9.2558,9:15
19019761945,Morning Run,Run,Run,2026-06-22T10:15:57Z,5016.9,2108,2115,6.2,12.2,1.0,2.38,3.434,162.3,184.0,,156.2,26.0,,"51.47561,-0.15637","51.476261,-0.156604",2,3,0,0,0,g26095750,,5.0169,35.13,7.003,7:00
18984270431,Lunch Run,Run,Run,2026-06-19T12:17:43Z,8006.3,3764,3765,11.4,8.2,0.0,2.127,3.64,170.6,199.0,,144.3,55.0,,"51.475779,-0.156393","51.475556,-0.156531",6,2,0,0,0,g26095750,,8.0063,62.73,7.8355,7:50
18961347789,Afternoon Run,Run,Run,2026-06-17T16:13:32Z,17010.2,8961,9046,127.0,43.4,-0.4,1.898,3.56,163.0,181.0,,126.3,78.0,,"51.466805,-0.242164","51.474377,-0.155381",5,3,0,0,0,g26095750,,17.0102,149.35,8.78,8:46
18929574337,Afternoon Run,Run,Run,2026-06-15T13:54:13Z,8239.4,3728,3737,10.2,7.8,1.0,2.21,3.16,155.5,167.0,,144.5,62.0,,"51.476049,-0.156582","51.474811,-0.153247",5,1,0,0,0,g26095750,,8.2394,62.13,7.541,7:32
18923356205,Night Run,Run,Run,2026-06-14T23:11:15Z,8016.2,3710,3735,31.6,12.0,-0.6,2.161,3.86,150.9,172.0,,139.8,36.0,,"51.474471,-0.155069","51.479113,-0.165184",6,3,0,0,0,g26095750,,8.0162,61.83,7.7135,7:42
